stopCode;stopName;ligneArret
SAGY;Le Saugy;ND
SAMA;Sauverny-Martinet;NT
SCAS;Sous-Cassan;NV
SCEC;Sainte-Cécile;NA
SCHA;Seuchat;NT
SERV;Servette;NA, NE
SEVI;Sézenove-Village;NM
SEZG;Sézegnin;NM
SGBO;Sergy-Bourg;NA
SGGA;Sergy-Gare;NA
SGNY;Ségny;NE
SIGN;Signal;NC
SILO;Sillons;NK
SIMO;Sismondi;ND
SION;Sionnet;NK
SOLE;Le Soleil;NP
SRMA;Soral-Mairie;NM
SRVI;Soral-Village;NM
SSCH;Sous-Chevrens;NS
STAL;De Staël;NM
STLA;Stand-Laconnex;NM
STLO;Saint-Loup;NT
STND;Stand;NA, NC, NJ, NK, NM
SUMO;Sur-le-Moulin;NM
SUSE;Susette;NE
SVEY;Stand-de-Veyrier;NO
SVON;Savonnière;NS
SYCS;Satigny-CS;NC
SYEG;Satigny-Temple;NC
SYMA;Satigny-Mairie;NC
SYPO;Satigny-Poste;NC
TANN;Tannay;ND
TCRE;Tour-Carrée;NS
THMA;Thoiry-Mairie;NA
TILL;Les Tilleuls;NC
TLIG;Tours Lignon;NC
TMOU;Terre Mousson;NC
TOUR;Tourelle;NE
TREU;Treulaz;NJ
TRIZ;Triaz;NS
TRMB;Trembley;NE
TRSI;Terrassière;NK, NV
TRTI;Tunnel Routier;NE
TUIL;La Tuilière;NM
TURA;Ch. des Turaines;NP
TXMA;Troinex-Mairie;NO
TXVI;Troinex-Ville;NO
UBER;Lancy-Hubert;NJ
VALY;Vailly;NJ
VAND;Vandoeuvres;NP
VARV;Val-d'Arve;NO
VCHA;Vieux Château;NV
VDUR;Duret;NJ
VELO;Vélodrome;NM
VEMA;Vernier-Marché;NC
VERD;Verdun;NV
VERN;Vernes;NA
VESY;Vessy;NO
VEVI;Vernier-Village;NC
VIDO;Vidollet;NT
VIHH;Vich;ND
VILL;Villereuse;NK
VIUS;Vieusseux;NA
VLLA;Villars;NS
VLON;Vallon;NV
VOLL;Vollandes;NS
VRBE;Varembé;NT
VREC;Veyrier-Ecole;NO
VRLP;Vireloup;NT
VRMT;Vermont;NT
VSEG;Vésenaz-Eglise;NS
VSNA;Vésenaz;NS
VSNX;Versonnex;NE
VSUI;Village-Suisse;NC
VTRN;Veyr-Tournettes;NO
VUIL;Vuillonnex;NJ
VVRA;Valavran;ND
VXAR;Versoix-Argand;ND, NT
VXBO;Versoix-Bourg;ND
VXGA;Versoix-Gare;ND, NT
VXLA;Versoix-Lachenal;ND, NT
VXVV;Vieux-Valavran;ND
WEBR;Weber;NV
