codeArret;nomArret;ligneArret
PYVI;Pregny-Village;ND
QUID;Quidort;NJ
RANN;Rte d'Annecy;NO
REFT;Le Renfort;NM
RIEU;Rieu;NV
RIPP;Rippaz;NS
RIVE;Rive;NA, NJ, NK, NP, NS, NV
RLAC;Rue du Lac;NS
RLUL;Rte de Lullier;NK
ROCH;Roches;NK
RPRS;Rte de Presinge;NK
RSMA;R. de St-Maurice;NS
RTEP;Rte d'Epeisses;NJ
RUSS;Russin;NC
RUTH;Ruth;NS
SAGY;Le Saugy;ND
SCAS;Sous-Cassan;NV
SCEC;Sainte-Cécile;NA
SERV;Servette;NA, NE
SEVI;Sézenove-Village;NM
SEZG;Sézegnin;NM
SGBO;Sergy-Bourg;NA
SGGA;Sergy-Gare;NA
SGNY;Ségny;NE
SIGN;Signal;NC
SILO;Sillons;NK
SIMO;Sismondi;ND
SION;Sionnet;NK
SOLE;Le Soleil;NP
SRMA;Soral-Mairie;NM
SRVI;Soral-Village;NM
SSCH;Sous-Chevrens;NS
STAL;De Staël;NM
STLA;Stand-Laconnex;NM
STND;Stand;NA, NC, NJ, NK, NM
SUMO;Sur-le-Moulin;NM
SUSE;Susette;NE
SVEY;Stand-de-Veyrier;NO
SVON;Savonnière;NS
SYCS;Satigny-CS;NC
SYEG;Satigny-Temple;NC
SYMA;Satigny-Mairie;NC
SYPO;Satigny-Poste;NC
TANN;Tannay;ND
TCRE;Tour-Carrée;NS
THMA;Thoiry-Mairie;NA
TILL;Les Tilleuls;NC
TLIG;Tours Lignon;NC
TMOU;Terre Mousson;NC
TOUR;Tourelle;NE
TREU;Treulaz;NJ
TRIZ;Triaz;NS
TRMB;Trembley;NE
TRSI;Terrassière;NK, NV
TRTI;Tunnel Routier;NE
TUIL;La Tuilière;NM
TURA;Ch. des Turaines;NP
TXMA;Troinex-Mairie;NO
TXVI;Troinex-Ville;NO
UBER;Louis-Hubert;NJ
VALY;Vailly;NJ
VAND;Vandoeuvres;NP
VARV;Val-d'Arve;NO
VCHA;Vieux Château;NV
VDUR;Victor-Duret;NJ
VELO;Vélodrome;NM
VEMA;Vernier-Marché;NC
VERD;Verdun;NV
VERN;Vernes;NA
VESY;Vessy;NO
VEVI;Vernier-Village;NC
VIHH;Vich;ND
VILL;Villereuse;NK
VIUS;Vieusseux;NA
VLLA;Villars;NS
VLON;Vallon;NV
VOLL;Vollandes;NS
VREC;Veyrier-Ecole;NO
VSEG;Vésenaz-Eglise;NS
VSNA;Vésenaz;NS
VSNX;Versonnex;NE
VSUI;Village-Suisse;NC
VTRN;Veyr-Tournettes;NO
VUIL;Vuillonnex;NJ
VVRA;Valavran;ND
VXBO;Versoix-Bourg;ND
VXGA;Versoix-Gare;ND
VXVV;Vieux-Valavran;ND
WEBR;Weber;NV
